单位：平方公里,,,,,,,,
行政单位,年份,耕地,园地,林地,草地,城镇村,交通运输用地,水域及水利设施用地
忻州市,2012,0.262657295,0.014848604,0.259228428,0.399916881,0.032628356,0.012525918,0.018194518
忻州市,2013,0.262629614,0.014820821,0.259090419,0.399253422,0.03307051,0.013106595,0.018028619
忻州市,2014,0.262616312,0.014794263,0.25904913,0.398805492,0.033514914,0.013301024,0.017918865
忻州市,2015,0.262783845,0.014740308,0.259022543,0.398351697,0.033933446,0.013468426,0.017699735
忻州市,2016,0.262811442,0.01474032,0.25893979,0.398130506,0.034154581,0.013634371,0.017588989
临汾市,2009,0.260088103,0.020945245,0.385451032,0.250452685,0.055284232,0.01640071,0.011377993
临汾市,2010,0.259933807,0.020841341,0.385185823,0.2502647,0.055621837,0.016707102,0.01144539
临汾市,2011,0.260097167,0.020809126,0.384917586,0.249982702,0.055764359,0.01701633,0.01141273
临汾市,2012,0.260139795,0.020775489,0.384862437,0.249547284,0.056210632,0.017051247,0.011413116
临汾市,2013,0.259636154,0.020673688,0.384670624,0.249248309,0.056622623,0.017769438,0.011379165
临汾市,2014,0.259168081,0.020609054,0.384599808,0.248812288,0.057213195,0.018250804,0.011346771
临汾市,2015,0.259339311,0.020574706,0.384565459,0.248402157,0.057486444,0.018318988,0.011312935
临汾市,2016,0.25952759,0.02054226,0.384523296,0.248043161,0.057627225,0.018422767,0.011313701
吕梁市,2009,0.258089415,0.041439703,0.386115573,0.243163048,0.044779102,0.011787322,0.014625837
吕梁市,2010,0.257964336,0.041374474,0.386061411,0.243037467,0.045114706,0.011821278,0.014626327
吕梁市,2011,0.257956618,0.041311993,0.385933273,0.24269462,0.045653241,0.011922653,0.014527602
吕梁市,2012,0.25794927,0.041215911,0.385837983,0.242217815,0.046258995,0.012057609,0.014462418
吕梁市,2013,0.257857854,0.041049975,0.385684289,0.241457504,0.046895362,0.012792514,0.014262503
吕梁市,2014,0.25751503,0.040747996,0.385470942,0.240981964,0.047728958,0.01336022,0.01419489
吕梁市,2015,0.257323396,0.040749384,0.385350303,0.240789766,0.047997627,0.013594151,0.014195373
吕梁市,2016,0.25721514,0.040720357,0.385355463,0.240713442,0.048169245,0.013662642,0.014163711
呼和浩特市,2009,0.334701743,0.002249765,0.218898029,0.35234464,0.048152676,0.012551323,0.031101823
呼和浩特市,2010,0.334768253,0.002251009,0.218663588,0.35182853,0.048811349,0.012676734,0.031000538
呼和浩特市,2011,0.334597606,0.002212279,0.218284343,0.351467939,0.049306626,0.013196041,0.030935167
呼和浩特市,2012,0.332924638,0.002924703,0.217865767,0.351383527,0.050197816,0.013833792,0.030869757
呼和浩特市,2013,0.332160433,0.002886485,0.217539057,0.351138759,0.051320358,0.01411513,0.030839779
呼和浩特市,2014,0.33242399,0.002846639,0.217293451,0.349741045,0.052346728,0.014549291,0.030798856
呼和浩特市,2015,0.332226308,0.002846637,0.217095837,0.349029178,0.053137232,0.014747361,0.030917448
呼和浩特市,2016,0.331883468,0.002846749,0.21682737,0.348410625,0.054127964,0.014985167,0.030918658
包头市,2009,0.156445748,0.000780157,0.044987941,0.734315485,0.028602089,0.007144304,0.027724276
包头市,2010,0.156140425,0.000804721,0.044893568,0.733881251,0.029140785,0.007437453,0.027701797
包头市,2011,0.155851505,0.00080474,0.044870493,0.733679225,0.029629077,0.007486646,0.027678313
包头市,2012,0.155639716,0.00080478,0.0448482,0.733276487,0.030142673,0.007584321,0.027703823
包头市,2013,0.155778404,0.000780233,0.044821494,0.732777453,0.030555637,0.007632965,0.027653815
包头市,2014,0.155721812,0.000780195,0.044770666,0.732400172,0.030968937,0.007705748,0.02765247
包头市,2015,0.155485828,0.000780233,0.044748352,0.732167947,0.031458055,0.007730268,0.027629317
包头市,2016,0.155241788,0.000780233,0.044724193,0.731557905,0.032214134,0.00790109,0.027580657
乌海市,2009,0.058175664,0.007490117,0.044510994,0.63861013,0.142351883,0.018510439,0.090350773
乌海市,2010,0.057346081,0.007059913,0.044112879,0.632990373,0.146888543,0.019849803,0.091752407
乌海市,2011,0.057296039,0.007053753,0.043188534,0.629793676,0.150283935,0.020711722,0.091672341
乌海市,2012,0.056877931,0.007056832,0.042770881,0.624777614,0.155204,0.022043505,0.091269238
乌海市,2013,0.055063634,0.00705063,0.042733292,0.622906948,0.15858961,0.022909591,0.090746296
乌海市,2014,0.053789683,0.007056878,0.042328042,0.620813492,0.159609788,0.022929894,0.093472222
乌海市,2015,0.046657028,0.006602098,0.041811088,0.612674708,0.159770775,0.024209894,0.10827441
乌海市,2016,0.046616095,0.006596306,0.041774406,0.609940633,0.161827177,0.025065963,0.10817942
赤峰市,2009,0.167704531,0.003157374,0.313967862,0.464120082,0.022705724,0.008088183,0.020256245
赤峰市,2010,0.167798611,0.003157198,0.313862814,0.46376022,0.0230226,0.008159305,0.020239251
赤峰市,2011,0.167693986,0.003157474,0.313707376,0.463554304,0.02328707,0.008223605,0.020376186
赤峰市,2012,0.167733724,0.003157624,0.313595049,0.463329823,0.023510922,0.008311566,0.020361291
赤峰市,2013,0.168213783,0.003149832,0.313082182,0.463112726,0.023735056,0.008351827,0.020354595
赤峰市,2014,0.16823768,0.003149982,0.313009545,0.462991648,0.023911228,0.008384083,0.020315833
赤峰市,2015,0.168311923,0.003141888,0.312928023,0.462786052,0.024045651,0.008471274,0.020315189
赤峰市,2016,0.169129956,0.003134138,0.312598453,0.462112337,0.02421365,0.008503468,0.020307999
通辽市,2009,0.243040031,0.001214539,0.256148142,0.428032023,0.032661955,0.013889723,0.025013588
通辽市,2010,0.243109051,0.001214583,0.256049148,0.427650602,0.03289151,0.014070617,0.02501449
通辽市,2011,0.243150169,0.001202821,0.25594767,0.427329071,0.033196213,0.014156561,0.025017496
通辽市,2012,0.243233446,0.001202995,0.255804176,0.426801258,0.033561885,0.014230781,0.025165459
通辽市,2013,0.243744918,0.001190877,0.255617601,0.426562584,0.03381369,0.014434873,0.024635456
